country_name, 1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Uganda,2069.135*,2066.761,2040.415,2070.159,2045.761,2100.382,1982.907,2165.020,2181.561,2156.478,2211.070,2177.224,2226.881,2132.177,2176.173,2180.912,2224.258,2200.672,2125.043,2006.820,1932.945,2005.876,2138.742,2248.644,2121.777,2028.705,2051.670,2108.086,2181.367,2310.589,2323.159,2270.007,2218.351,2239.202,2224.124,2242.505,2145.881,2175.495,2290.366,2271.100,2291.093,2309.893,2366.293,2425.678,2404.775,2391.815,2350.179,2294.060,2267.558,2295.378,2344.001,2299.000,2309.999,2292.000,2236.000,2155.000,2026.000,2050.999,2136.999,2125.000,2159.000,2123.000,
United Arab Emirates,NaN,2009.376,2031.506,2124.989,2125.209,2173.099,2309.507,2420.201,2479.510,2329.273,2280.339,2199.552,2225.574,2897.080,2775.294,3080.828,3200.271,3211.997,3279.280,3133.341,3397.153,3367.636,3393.190,3417.483,3563.547,3394.979,3323.867,3388.750,3238.667,3211.376,2924.523,2919.395,3041.043,3083.302,3177.846,3143.099,3125.321,3096.263,3119.483,3153.196,3044.165,3010.314,2976.752,2948.961,3009.961,3106.181,3186.996,3144.964,3063.530,3061.067,2992.998,3101.996,3170.998,3212.999,3175.998,3189.997,3172.998,3218.001,3227.999,3305.000,3300.001,3306.001,
Uzbekistan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2711.182,2699.288,2689.024,2646.328,2584.612,2531.711,2490.163,2423.626,2358.827,2272.470,2267.073,2319.064,2344.007,2421.770,2500.391,2520.456,2531.078,2533.342,2915.000,2993.001,3074.999,3132.001,3203.000,3226.001,3245.001,3184.000,3211.000,3235.000,3246.000,3267.000,
United Kingdom,3280.000,3242.781,3210.504,3242.688,3226.374,3257.113,3259.256,3238.549,3235.662,3250.600,3289.184,3252.207,3175.071,3242.669,3125.779,3134.564,3180.196,3173.268,3108.495,3176.588,3125.386,3097.366,3124.746,3118.044,3132.581,3196.055,3217.781,3234.421,3256.917,3227.816,3253.155,3220.335,3283.784,3231.483,3249.673,3200.539,3285.298,3346.043,3370.222,3418.776,3380.678,3418.354,3433.571,3415.914,3457.698,3446.100,3441.014,3414.117,3412.625,3395.534,3319.999,3336.000,3314.000,3337.000,3356.000,3373.999,3359.000,3386.999,3344.000,3379.000,3374.000,3362.000,
United States,3100.000,3043.850,3017.605,3016.454,3082.405,3075.764,3109.622,3135.743,3158.982,3188.202,3173.589,3185.478,3187.629,3160.715,3149.603,3150.207,3284.688,3253.460,3268.780,3323.030,3278.208,3314.788,3285.352,3323.792,3369.124,3476.648,3448.197,3550.396,3559.093,3530.780,3583.439,3599.239,3621.437,3653.900,3704.077,3612.065,3616.973,3677.605,3687.427,3702.436,3784.192,3733.783,3808.186,3800.006,3828.944,3845.065,3798.017,3769.951,3711.645,3656.578,3729.000,3727.000,3765.000,3754.000,3742.000,3754.000,3777.000,3791.000,3824.000,3876.000,3892.000,3911.000,
Taiwan,NaN,2412.747,2353.564,2309.606,2375.015,2346.789,2353.567,2355.216,2404.065,2466.584,2529.694,2556.552,2615.700,2640.633,2691.640,2753.222,2735.199,2747.871,2762.606,2787.046,2726.561,2680.546,2669.773,2625.938,2603.784,2668.324,2701.122,2733.574,2777.294,2858.746,2896.298,2936.865,2925.708,3010.851,3019.186,3034.003,3062.844,3069.427,3024.624,3064.707,3082.499,2979.705,2975.464,2970.390,2971.519,2976.055,2943.493,2962.797,2926.485,2942.579,2960.999,2934.999,2923.999,2936.000,2940.001,2940.001,2930.999,2925.999,2951.001,2963.000,2952.000,2961.001,
Tunisia,2077.504*,2121.880,2204.237,2276.195,2290.566,2382.647,2302.493,2408.752,2393.443,2299.105,2335.811,2424.134,2560.832,2539.464,2606.095,2577.554,2521.414,2612.457,2685.763,2702.204,2830.764,2748.782,2749.171,2883.620,2933.746,2946.337,3008.272,2989.588,3033.476,3030.413,3040.010,3001.373,3035.586,3057.407,3007.746,3020.396,3092.638,3136.999,3190.314,3257.812,3139.167,3145.193,3082.080,3129.774,3139.053,3115.434,3171.984,3157.825,3212.533,3250.423,3257.999,3269.001,3288.999,3285.999,3321.999,3341.001,3333.001,3347.000,3394.000,3440.997,3468.000,3471.000,
Togo,NaN,1941.820,2075.260,2008.164,2076.732,2132.963,2102.454,2188.465,2090.346,1981.746,2013.556,2114.444,2092.994,1976.547,1856.479,1809.142,1739.403,1713.080,1809.532,1948.809,1964.448,1945.227,1902.294,1800.134,1838.004,1986.989,1812.390,1727.226,1901.010,1925.889,2043.549,1880.556,1840.024,1960.731,2086.101,2048.117,2086.399,2112.465,2074.823,2092.957,2108.990,2090.741,2092.657,2133.286,2178.516,2170.759,2209.840,2214.343,2228.351,2246.882,2413.996,2411.998,2389.002,2412.997,2426.999,2349.999,2399.997,2377.000,2364.000,2435.999,2496.999,2533.000,
Turkmenistan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2532.057,2552.614,2523.180,2515.797,2489.696,2523.889,2538.901,2572.878,2574.035,2575.974,2625.510,2678.050,2742.308,2751.165,2747.998,2804.646,2769.461,2761.968,2832.997,2807.999,2826.996,2838.001,2920.995,2920.002,2895.996,2901.996,2883.999,2851.998,2866.999,2847.000,
Timor Leste,NaN,1862.463,1877.674,1816.683,1788.060,1830.342,1911.170,1865.294,1887.574,1948.112,1866.412,1871.116,1871.688,1918.622,1922.008,1926.696,1906.849,1944.028,1953.099,1972.998,1878.979,1919.511,1957.434,1981.156,2055.819,2049.320,2057.662,2050.345,2061.044,2048.655,1799.935,1943.850,2039.956,2126.079,2122.517,2151.535,1973.688,1967.813,1792.911,1789.637,1820.068,1892.200,2038.851,2071.935,2085.301,2086.907,2086.005,2079.380,2074.663,2037.046,2183.996,2214.990,2204.994,2225.004,2280.977,2232.978,2226.986,2257.985,2205.000,2233.996,2218.986,2194.993,
